content,sentiment,negative,neutral,positive,highlight
말 그대로 이 시대는 누구의 시대였지라는 얘기가 나올 가수들이요.,neutral,0.0012791943,0.99781126,0.00090955204,이 시대는 누구의 시대였지라는 얘기가 나올 가수들이요
"변진섭 이문세 신승훈 임창정 조성모 성시경 박효신 이렇게 이어지는 듯이승철과 이승환은 록발라드라 방계의 느낌이고, 이승철은 곡을 쓰지 않기 때문에 가볍다고 평가되구요.",neutral,0.00051785,0.99610186,0.0033803245,이승철은 곡을 쓰지 않기 때문에 가볍다고 평가되구
라울과알레 성시경한테 진다고 저평가는아님.. 사실 메시냐 펠레냐 수준이자너.,neutral,0.41983882,0.52476996,0.05539119,라울과알레 성시경한테 진다고 저평가는아님
델카이저 성시경 젤 인기있는곡이 너의모든날이라고?ㅋㅋㅋ,positive,0.0022995167,0.13690491,0.8607956,델카이저 성시경 젤 인기있는곡이 너의모든날이라고
그것도 멜론하트기준이냐?,neutral,0.006832901,0.99271375,0.0004533444,그것도 멜론하트기준이냐
 연령대가 어캐되누 무조건 희재 거리에서 둘중하나지 뭔소리임.,negative,0.99568033,0.0040513314,0.00026840458,연령대가 어캐되누 무조건 희재 거리에서 둘중하나지 뭔소리임
에펨자료받으러 희재는 아님.,neutral,0.0057672905,0.99346864,0.0007639996,희재는 아님
 거리에서겠지.,neutral,0.001967511,0.9973489,0.0006834798,거리에서겠지
 희재는 나왔을때 묻혔다가 롱런하면서 뜬거임.,neutral,0.0034904028,0.98791724,0.00859233,묻혔다가 롱런하면서 
델카이저 거리에서 희재 너의모든순간 내가너의곁에잠시살았다는걸 내게오는길 넌감동이었어,positive,0.0010342876,0.00065402564,0.99831164,델카이저 거리에서 희재 너의모든순간 내가너의곁에잠시살았다는걸 내게오는길 넌감동이었어
 두사람 좋을텐데 차마 안녕 나의 사랑 너는나의봄이다,neutral,0.0095603485,0.7302986,0.26014113,사람 좋을텐데 차마 안녕 나의 사랑 너는나의봄이다
 그대네요,neutral,0.0018261797,0.99016714,0.008006715,그대네요
등등 아직까지도 회자되는 노래가 많은데젤 인기 있었던 곡만 따지는 건 이유를 모르겠넹.,neutral,0.00034692572,0.99862266,0.0010304495,곡만 따지는 건 이유를 모르겠넹
가고시마 성시경이 리메이크 하긴 함.,neutral,0.00030200844,0.9992186,0.00047938386,가고시마 성시경이 리메이크 하긴 함
성시경 거리에서 말고는 잘 모르겠음.,neutral,0.0004099063,0.9994004,0.00018962934,성시경 거리에서 말고는 잘 모르겠음
무협초보 성시경 데뷔년도나 보고와서 이런말해라 ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.,negative,0.99742717,0.0023341344,0.00023864773,이런말해라 ㅅㅂ 
뒤앙민크 새히트곡없이 계속 활동하는게 커리어 롱런이라치면 그냥 먼저 시작한가수가 대부분 롱런으로 압살이라 비교자체를 할수가없음.,negative,0.98338324,0.010413911,0.0062028975,시작한가수가 대부분 롱런으로 압살이라 비교자체를 할수가없음
 예를들어 성시경은 짧은 전성기라는 조성모한테 롱런으로 발리고 소녀시대는 천상지희멤버한테 롱런으로 발림 애초에 말이안되지,neutral,0.38696468,0.48504713,0.1279882,소녀시대는 천상지희멤버한테 롱런으로 발림 애초에 말이안되지
 저런 기준은.,neutral,0.015158369,0.98340595,0.0014356816,저런 기준은
 전성기가 얼마나 오래 지속되었냐가 롱런이지.,positive,0.00078306,0.0017755867,0.9974413,지속되었냐가 롱런이지
 성시경은 롱런한거 맞음 지금이 아니란거지..,positive,0.00464427,0.15469418,0.8406616,지금이 아니란거지
무협초보 성시경 아직도 앨범내는거 이 댓글 아니면 평생 몰랐을듯.,neutral,0.016693912,0.9703363,0.012969695,무협초보 성시경 아직도 앨범내는거 이 댓글 아니면 평생 몰랐을듯
어그로에많관부 원히터라기엔 성시경보다 오히려 히트곡은 더많을걸.,negative,0.99756795,0.0019132362,0.0005187537,어그로에많관부 원히터라기엔 성시경보다 오히려 히트곡은 더많을걸
LeslieC 히트곡이 성시경보다 많다고?.,neutral,0.00048397348,0.99853015,0.0009858554,히트곡이 성시경보다 많다고
"섹보스지스털섹 김형석 밑에서 나오고 나서부터 거리에서 들어있던 5집부터 성시경이 쭉 프로듀싱함. 3집부터 자작곡 넣기 시작했고, 6집부터 비중이 상당히 늘었음.7집에서 8집 넘어갈 때까지 10년정도 공백이 있었는데 그때 ost들은 작사,작곡 대부분 본인이 함.",neutral,0.0015736505,0.99647754,0.0019488268,6집부터 비중이 상당히 늘었음
곡만 받아서 부른다는게 외려 편견임..,negative,0.99788946,0.0014717507,0.0006387807,곡만 받아서 부른다는게 외려 편견임
성시경 노래는 좋았는데 걍 임팩트가 없었음 ㅋㅋ,negative,0.9952301,0.0011430206,0.0036269145,임팩트가 없었음 
 지금까지 그 목소리를 유지해서 요즘 더 뜨는 느낌.,neutral,0.00080041226,0.9967379,0.0024616725,지금까지 그 목소리를 유지해서 요즘 더 뜨는 느낌
 당시 최고히트곡이였던 거리에서보다 이기찬 감기 이런게 더 순위 높았을껄.,negative,0.9921102,0.004682525,0.003207325,거리에서보다 이기찬 감기 이런게 더 순위 높았을껄
클리어 사실 성시경이 연간판매순위 10위 안에 들어간게 02년에 8위 한번 한 것 밖에 없음롱런으로 유지한거지 임팩트는 약함.,negative,0.9978175,0.0011598725,0.0010226618,밖에 없음롱런으로 유지한거지 임팩트는 약함
조윤희 성시경이 스테디셀러였던적이 없다고;;;.,neutral,0.00036705003,0.9990676,0.00056537637,조윤희 성시경이 스테디셀러였던적이 없다고
조윤희 성시경이 스테디 셀러인 적 없다.,neutral,0.00028046683,0.999044,0.00067546044,조윤희 성시경이 스테디 셀러인 적 없다
엠팍은 ㄹㅇ,neutral,0.00078425976,0.99889946,0.00031630753,엠팍은 ㄹㅇ
 아재들이라 성시경 전성기때도 저게 요즘 인기있는 가수인가~,positive,0.0011549481,0.004779584,0.9940654,저게 요즘 인기있는 가수인가
 이런 반응이라 더 냉철한듯여기는 아직도 롤보다 스타라는 사람들도 있어서 버즈보다 sg워너비가 위라는 사람들고 있었고 객관적이지 못함.,negative,0.99505436,0.0036695306,0.0012760779,사람들고 있었고 객관적이지 못함
다이나믹아일랜드 진짜 조금만 파고들어도 성시경 테크닉이 진짜 엄청나게 어려운건데 노래를 너무 쉽게 부르는 것처럼 보여지니 이러는건가 싶고...걍 둘 다 완전히 다른 스타일로 자신만의 스타일을 승화시키는데 왤케 비교질들인지 모르겠다 ㅋㅋㄱ.,negative,0.88402474,0.10382339,0.012151816,성시경 테크닉이 진짜 엄청나게 어려운건데 노래를 너무 쉽게 부르는 것처럼 보여지니 
성시경이 존나게 위지 뭔 개소리들을 쳐하고 자빠졌냐,negative,0.99920183,0.00043225862,0.00036595072,위지 뭔 개소리들을 쳐하고 
 저긴 ㅋㅋㅋㅋㅋ.,neutral,0.00276711,0.99688065,0.00035221822,저긴 
2월30일 성시경은 동시대에 비교해도 한참 떨어짐 스테디셀러였던 적 없음.,neutral,0.0058816583,0.9820533,0.012064972,성시경은 동시대에 비교해도 한참 떨어짐 스테디셀러였던 적 없음
래드키 김동률이 성시경 개패지 무슨 소리 함 ㅋㅋㅋ.,negative,0.99801445,0.001496574,0.0004889224,래드키 김동률이 성시경 개패지 무슨 소리 함 
아늑 그건 아님나윤권은 아예 1위곡 자체가 없고 성시경은 우린 제법 잘어울려요가 나왔을 당시에는 꽤 잘 나갔어,positive,0.00019160415,0.0005495148,0.9992588,요가 나왔을 당시에는 꽤 잘 나갔어
지금은 거리에서 희재 이런 노래가 더 유명하지만.익사는익사이팅 성시경은 무려 20년임.,neutral,0.00032617396,0.9983871,0.0012866814,익사는익사이팅 성시경은 무려 20년임
Fkdkd 거리에서.,neutral,1.9742602e-05,0.9999585,2.1752121e-05,Fkdkd 거리에서
로제박은빈카리나 거리에서 이후에 군대도 있고10년대 앞뒤로 아이돌판 커지면서 발라드가 많이 가라앉음성시경이 잘났으면 이런것 안따지고 잘나갔겠지만 ㅋ.,neutral,0.0040929914,0.97791415,0.017992923,발라드가 많이 가라앉음성시경이 잘났으면 이런것 안따지고 
성시경이 혹시라도 이 글 보면 잠 못자겠네 ㅋㅋ.,neutral,0.2860636,0.69838655,0.015549783,성시경이 혹시라도 이 글 보면 잠 못자겠네 
성시경이 고평가 이런 소리 들을 가수는 아니라 생각함 ㅋㅋ,neutral,0.008106748,0.97577935,0.016113937,성시경이 고평가 이런 소리 들을 가수는 아니라 생각함 
 발라드 goat까진 아니더라도 손가락 안에 들어갈텐데.,neutral,0.0005126873,0.99929583,0.00019144776,발라드 goat까진 아니더라도 손가락 안에 들어갈텐데
래드키 00년대 미디엄템포 시절에도 박효신 눈의꽃급 고점을 찍은것도 아니고 그시절도 지배자는 SG워너비였고당시 거리에서는 걍 모세 사랑인걸이랑 비슷한 정도 히트곡이었던거같은데.,neutral,0.0010508694,0.9808123,0.018136857,모세 사랑인걸이랑 비슷한 정도 히트곡이었던거같은데
김해코스트코 ㅋㅋㅋ,neutral,0.00074320624,0.9990044,0.0002524086,김해코스트코 
사랑인걸이랑 비슷한건 말이안되고거리에서 그 당시 올해의 노래 수상하던 노래인데.성시경 vs 조성모는 조성모 압승맞지?,neutral,0.0075094984,0.9885091,0.003981379,조성모는 조성모 압승맞지
성모형은 축구로 치면 호나우지뉴 느낌인데 고점이 존나 높은.감자국틀니 성시경이 조용필 나훈아급이면 애초에 이야기가 안나오지 않았을까?.하루3시간취침 비교하려면 성시경 콘서트는 축가로 계산해야지 올림픽 보조 경기장 (10000석),neutral,0.07359926,0.92481995,0.0015808273,취침 비교하려면 성시경 콘서트는 축가로 계산해야지 올림픽 보조 경기장 
 3일 모두 매진.,neutral,0.0006845197,0.96272534,0.03659016,3일 모두 매진
성시경이 당연히 윈줄알았는데..95년생임 난 성시경 노래가 더 좋아.,positive,0.0005774627,0.0009690807,0.9984535,성시경 노래가 더 좋아
성시경 바로 앞에서 라이브로 들어본 사람으로써 한마디하면 세상 살면서 저렇게 감미로운 목소리는 처음 들어봄,positive,0.0010135723,0.0002716935,0.9987148,세상 살면서 저렇게 감미로운 목소리는 처음 들어
노래 좀 한다는 일반인들?,neutral,0.0005303203,0.9992611,0.00020863958,노래 좀 한다는 일반인들
 성시경 발톱 때에도 못미침 진짜 고막 유린당하는줄.,negative,0.99885046,0.0005906589,0.0005588205,고막 유린당하는줄
난 성시경 노래를 ㅈㄴ잘부르잖아.,negative,0.71890026,0.1958069,0.08529278,난 성시경 노래를 ㅈㄴ잘부르잖아
래드키 '거리에서'는 그래도  꽤 고점이라고 부를만하지 않나요??.,positive,0.0011071519,0.11298832,0.88590455,그래도  꽤 고점이라고 부를만하지 않나요
노하라히로시 음방음원노래방차트콘서트음반판매량수상내역주요 기록들 전부 이승기가 우위그럼 대중가수로서 이승기>>성시경인가?.,neutral,0.00094107946,0.9981773,0.00088155386,노하라히로시 음방음원노래방차트콘서트음반판매량수상내역주요 기록들 전부 이승기가 우위그럼 대중가수로서 이승기
자시안 그렇긴한데 앨범 판매량이 둘이 비슷할거야,neutral,0.0007002608,0.9981358,0.001163958,앨범 판매량이 둘이 비슷할거야
 100만장대로 물론 성시경 노래가 더 오래가서 우위라고 생각하긴함 굳이 따지면 박효신 성시경 이수 이정도 생각함 ㅋㅋ.,neutral,0.00070465956,0.9945328,0.0047624237,성시경 노래가 더 오래가서 우위라고 생각하긴함 굳이 따지면 박효신 성시경 이수 이정도 생각함 
개소 추억보정이라고 하기에는보컬로서의 가창력이나 콘서트 관중동원력에서아직 장보다 성이 확실히 우위임장이 차트 성적이나 앨범의 음악성은 압살이지만그 외부분에서 아직 성시경이 생각보다 쌩쌩함,positive,0.003324545,0.0039507784,0.9927247,그 외부분에서 아직 성시경이 생각보다 쌩쌩함
그래서 근소우위라는거.하루3시간취침 근데 성시경이한 잠실은 보조경기장임,neutral,0.0011237018,0.99514365,0.0037327372,그래서 근소우위라는거
 주경기장이 아니라.,neutral,0.0009875816,0.99884796,0.00016439015,주경기장이 아니라
제드왕 그러네,neutral,0.00831984,0.9798236,0.0118565895,제드왕 그러네
 하긴 쓰면서 성시경이 주경기장 할수있나?,neutral,0.002558727,0.99594057,0.001500717,성시경이 주경기장 할수있나
싶긴했음.,neutral,0.00072437024,0.998461,0.0008146581,싶긴했음
근데 성시경 당시에 그렇게 히트 아니라는데 나 02년생이라 성시경 전성기 세대 아닌데도 어렸을때부터 거리에도 내게오는길 이런거 어렴풋이 알고있었음,neutral,0.0008680088,0.9864006,0.012731422,거리에도 내게오는길 이런거 어렴풋이 알고
반면에 더 히트했다는 이수영은 가수이름도 모르고 노래도 하나도 몰랐음,neutral,0.23574062,0.73739654,0.026862938,반면에 더 히트했다는 이수영은 가수이름도 모르고 
 나중에 내가 직접 찾아보고서야 알았고.,neutral,0.0014581573,0.99791056,0.00063123106,나중에 내가 직접 찾아보고서야 알았고
햄버걸줄수있을때 성시경은 꾸준히 활동했고 이수영은 거의 은퇴한거나 마찬가지였으니 당연히 모르지.,neutral,0.0015848833,0.9969873,0.0014278669,성시경은 꾸준히 활동했고 이수영은 거의 은퇴한거나 마찬가지였으니 당연히 모르지
난 성시경 성대가 너무 사기야......,negative,0.9778105,0.0051628957,0.017026681,난 성시경 성대가 너무 사기야
성시경 코앞에서 들은 나는 성시경.:.,neutral,0.00015305694,0.9996166,0.00023035721,성시경 코앞에서 들은 나는 성시경
김해코스트코 고점만 비교하면 성시경은 이기찬 최전성기도 넘을지 모르겠음..그 시대 겪어본 입장에선.,neutral,0.0016878238,0.9910937,0.0072184983,김해코스트코 고점만 비교하면 성시경은 이기찬 최전성기도 넘을지 모르겠음
지프는지프 성시경 고점은 개인 앨범보다 ost들이 더 높은거 아녀?.,neutral,0.00067583047,0.99591416,0.0034099682,지프는지프 성시경 고점은 개인 앨범보다 ost들이 더 높은거 아녀
지프는지프 ㅁㅊ 너무 내려친다 ㅋㅋ,negative,0.9987858,0.0009247795,0.000289433,지프는지프 ㅁㅊ 너무 내려친다 
"성시경 역대 앨범 빼고 이윽고 한곡으로 음원, 노래방 수익만 봐도 이기찬은 비교불가임성시경은 콘서트로 수익 창출 가수들 사이에서도 탑급이라.",positive,0.0010425965,0.00070862245,0.9982488,노래방 수익만 봐도 이기찬은 비교불가임성시경은 콘서트로 수익 창출 가수들 사이에서도 탑급이라
가창력만 따진다면 성시경이긴 할듯.,positive,0.00046324104,0.0035965398,0.9959402,가창력만 따진다면 성시경이긴 할듯
지프는지프 희재 저작권이 너무 얽혀서 오히려 행사때나 부를 수 있다고 딩고였나 자기 유튜브였나 말한적 있음.,neutral,0.00696191,0.9927617,0.00027638767,지프는지프 희재 저작권이 너무 얽혀서 
그리고 성시경을 롱런이라고 하기에는 2010년대 중반 이후 음악적 결과물이 유의미한게 없음.,negative,0.9937935,0.005170657,0.0010357649,중반 이후 음악적 결과물이 유의미한게 없음
 그냥 방송에서 자주 노출되고 가끔 방송이나 유튜브 나와서 노래 불러주면 반응 좋으니 그런데 실제 2010년대 중반 이후 낸 곡 중에서 유의미하게 성공을 거둔 곡은 없음.,negative,0.9744829,0.021881841,0.0036352593,곡 중에서 유의미하게 성공을 거둔 곡은 없음
 임창정처럼 꾸준히 히트곡이 나오는 가수면 모를까..본인이 더 체감한 가수가 본인에게 더 높게 평가 되는거라 생각함.,positive,0.0006227161,0.010264038,0.9891132,임창정처럼 꾸준히 히트곡이 나오는 가수면 모를까
"난 둘 다 별로 체감하지 못했었는데 그나마 더 젊었어서 노래 들었던게 성시경의 노래를 많이 들어서 그런가 성시경..성시경, 박효신 넘었나?.",neutral,0.0014611036,0.99581194,0.0027269833,박효신 넘었나
발라드 goat 성시경이라는 댓글은 진짜 개소리임.,negative,0.99920815,0.0004780314,0.0003138894,댓글은 진짜 개소리임
 발라드 goat는 이문세지 ㅅㅂ.,negative,0.9965198,0.0031665298,0.00031358274,발라드 goat는 이문세지 ㅅㅂ
쿤디판다 아니 솔직히 성시경은 박효신이랑도 힘들어 보이는데;;.,negative,0.9941493,0.0054566055,0.0003941044,쿤디판다 아니 솔직히 성시경은 박효신이랑도 힘들어 
성시경 노래는 좋은데 사람은 싸가지 없어서 별로임.,negative,0.9985091,0.00038569447,0.001105206,사람은 싸가지 없어서 
난 성시경특유의 감성이좋아.,positive,0.0012204618,0.00027268892,0.99850684,난 성시경특유의 감성이좋아
걍 닥 성시경 아님?.,neutral,0.02663062,0.9726068,0.0007626157,걍 닥 성시경 아님
성시경이 콘서트티켓파워력 훨씬 더 쎌텐데ㅋㅋ.,neutral,0.0050377217,0.92337817,0.07158408,성시경이 콘서트티켓파워력 훨씬 더 쎌텐데
난 성시경이 더 좋드라 저번에 그거 뭐냐,positive,0.0014472402,0.014307409,0.98424536,난 성시경이 더 좋드라 저번에 그거 뭐냐
 딩고 나왔을떄 엄청 들었음ㅋㅋㅋ.,neutral,2.3351568e-05,0.99994946,2.7167018e-05,딩고 나왔을떄 엄청 들었음
내가 작곡가면 성시경한테 곡주고싶긴할듯.,neutral,0.00096353295,0.9937308,0.0053057303,성시경한테 곡주고싶긴할듯
이건 닥치고 성시경이지,neutral,0.0032114873,0.995589,0.0011994815,이건 닥치고 
 이걸 왜 고민하나 목소리 하나로 끝 아님?.,negative,0.98478794,0.014571324,0.00064073753,이걸 왜 고민하나 목소리 하나로 끝 아님
성시경이 더 낫지 히트곡 수 비교도 안되는구만.,negative,0.9698734,0.018995544,0.011130975,히트곡 수 비교도 안되는구만
진짜 보니까 성시경이 확실히 활동시기보다 지나서 재평가 받는게 있긴해.,neutral,0.006885713,0.6482384,0.3448759,성시경이 확실히 활동시기보다 지나서 재평가 받는게 있긴해
난 성시경 노래 좋아~.,positive,0.0012429567,0.00023274732,0.99852437,난 성시경 노래 좋아
난 성시경.먹을텐데 성식영 승.,neutral,0.0007029986,0.9948521,0.004444854,먹을텐데 성식영 승
근데 성시경은 전성기에 남자들한테 비호감으로 찍혀서 저평가 받은 감도 있음.,negative,0.99870455,0.0006566356,0.0006388865,저평가 받은 감도 있음
강구zl 그게 정말 힘든 거임,negative,0.998723,0.0008851853,0.00039178832,그게 정말 힘든 거임
 발라드 가수 중에 성시경처럼 20년 가까이 롱런한 가수가 손에 꼽음.,positive,0.000499229,0.003634971,0.9958658,성시경처럼 20년 가까이 롱런한 가수가 손에 꼽음
오르니틴 사실 성시경도 인터넷 오디션 가요제 출신임 싼마이로 치면 성시경이 더 싼마이임ㅋㅋㅋ.,neutral,0.012704942,0.97345597,0.013839043,성시경이 더 싼마이임
개인적으로는 성시경내 최애곡이 희재이기도 하고….,neutral,0.00023203365,0.99258363,0.0071843397,개인적으로는 성시경내 최애곡이 희재이기도 하고
노래 실력은 성시경.저 시대때 성시경 좋아하는사람이 없었음,positive,0.0018233617,0.2282632,0.76991343,성시경 좋아하는사람이 없었음
애정만세 하면서 버터왕자 캐릭터 얻고 남초에선 싫어하는쪽이 많았음,neutral,0.041859467,0.8578666,0.10027394,남초에선 싫어하는쪽이 많았음
 걍 이미지가 재수없는 발라더였음.,negative,0.9996481,0.00021809347,0.00013383059,이미지가 재수없는 발라더였음
성시경은 요즘 노래 안하고 술 많이 드시는 분 아니었나.,neutral,0.0010954995,0.9981427,0.0007617865,술 많이 드시는 분 아니었나
틀딱 남자들이 성시경 느끼하다고 많이들 싫어했지 ㅋㅋ,negative,0.99904746,0.00049970427,0.00045276928,틀딱 남자들이 성시경 느끼하다고 
 여자들은 반대로 엄청 좋아했고.,positive,0.0040744697,0.2193128,0.7766127,여자들은 반대로 엄청 좋아했고
레아오 가창 능력에서 성시경이 넘사벽인것도 맞지 솔직히.동탕 지금 성시경 원탑 아닌데?.,positive,0.0065185255,0.4719974,0.521484,레아오 가창 능력에서 성시경이 넘사벽인것도 맞지 솔직히
사류하 지금도 원탑 맞는데?,negative,0.9050339,0.039183863,0.05578225,사류하 지금도 원탑 맞는데
 후발 주자 아직 대성한 사람 있음?,neutral,0.008083819,0.9906232,0.0012929583,후발 주자 아직 대성한 사람 있음
 니 말대로 그 계보에 성시경 다음으로 누가 오름?.ZUTOMAYO 정보) 너는나의봄이다의 작곡가는 성시경이다.,neutral,0.0002004602,0.99950385,0.00029572746,니 말대로 그 계보에 성시경 다음으로 누가 오름
누가 우위인진 모르겠고 둘 다 안 듣다가 성시경 노래는 요새 듣는 중.,neutral,0.001888905,0.9970542,0.0010568846,누가 우위인진 모르겠고 둘 다 안 듣다가 성시경 노래는 요새 듣는 중
성시경은 10cm랑 붙어도 10cm가 이기는데.긴매 나도 성시경이더 취향이라 ㅋㅋ.,neutral,0.00042334668,0.998116,0.0014606554,긴매 나도 성시경이더 취향이라 
개인적으로 성발라 노래 더 많이 들어서 성시경.,neutral,0.00039591733,0.99026746,0.009336631,개인적으로 성발라 노래 더 많이 들어서 성시경
난 성시경 학창시절에 진짜 많이 들어서 성시경.성시경은 김동률한테도 밀림.,negative,0.7834562,0.1996866,0.0168572,성시경은 김동률한테도 밀림
로제박은빈카리나 ????,neutral,0.0006156232,0.99898845,0.00039591888,로제박은빈카리나 
 성시경의 데뷔때부터 발라드 계보 잇는 가수였음.,neutral,0.00045401047,0.99796677,0.001579228,발라드 계보 잇는 가수였음
메가 히트곡은 없었지만 나 초딩때부터 성시경 알았고 꾸준히 앨범냈는데. 거리에서 거의 준 메가히트 치고 그당시 탑은 아니여도 20년동안 발라드 가수 하면 탑 5에 꾸준히 들었는데 그걸 뻥튀기라고 한다고?,negative,0.92168146,0.06806087,0.010257726,그걸 뻥튀기라고 한다고
 어렸을때 박효신 소몰이 파라 성시경 안좋아했는데도 그당시 인기 겁나 많았음,positive,0.00072237675,0.012191718,0.9870859,그당시 인기 겁나 많았음
 특히 여자들한테.goroshi 성시경 전성기떄 ㅈ도 없었는데 뭔 ㅋㅋㅋ.,negative,0.9569979,0.040921956,0.002080208,goroshi 성시경 전성기떄 
음밥페내놔 성시경 나무위키 보고왔는데 수상내역에 대상없는데요.,negative,0.9672673,0.03223271,0.0004999379,음밥페내놔 성시경 나무위키 보고
성시경은 보컬이 좋은거긴해...보컬은 씹상위지.,negative,0.9981931,0.0009988715,0.0008080549,보컬은 씹상위지
머야 성시경이 이리 저평가됌?.,negative,0.9934455,0.0058581987,0.0006963118,머야 성시경이 이리 저평가됌
무슨 이건 아니다ㅋㅋ,negative,0.995767,0.003926782,0.00030625684,무슨 이건 아니다
 솔직히 성시경 팬 아니면 희재 거리에서 말곤 잘 모를텐데.,neutral,0.0025741123,0.9840456,0.01338032,솔직히 성시경 팬 아니면 희재 거리에서 말곤 잘 모를텐데
솔직히 성식이형은 가수로서의 전성기는 이미 10년전에 끝났지.,neutral,0.003998375,0.9469728,0.049028806,솔직히 성식이형은 가수로서의 전성기는 이미 10년전에 끝났지
 별그대 OST가 전성기의 마지막 이었다고 봄.이후로는 예능이나 시상식 MC에 더 가깝지.,neutral,0.0096429195,0.95088786,0.039469242,이후로는 예능이나 시상식 MC에 더 가깝지
 지금은 유튜버고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.,neutral,0.0013888857,0.99812216,0.0004889619,지금은 유튜버고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
의외네 성시경 인기 미친듯이 많았을줄ㅋㅋㅋ,positive,0.0018880164,0.07825061,0.9198614,성시경 인기 미친듯이 많았을줄
거리에서가 워낙 유명해서.,neutral,9.9273975e-06,0.99993515,5.50028e-05,거리에서가 워낙 유명해서
성시경은 이제 '먹을텐데'만 해도 먹고 살 듯..,neutral,0.0037842244,0.97282207,0.023393732,해도 먹고 살 듯
내 취향은 성시경이긴 한데.. 콘서트 가봤는데 진짜 좋았음.,positive,0.0,0.0,1.0,내 취향은 성시경이긴 한데
은월향 나는 성시경이 더 좋은데 절대 그 정돈 아녔음ㅋㅋ.,negative,0.9998586,4.9024784e-05,9.233441e-05,은월향 나는 성시경이 더 좋은데 
내손을잡아 허어어어어어엉이 대부분인 노래보다 성적낮은 성시경 노래는 뭐임?.,negative,0.9959915,0.0033044727,0.0007040703,노래보다 성적낮은 성시경 노래는 뭐임
성시경은 앨범을 너무 늦게 냈는데 잘 안 된게 타격이 큼 히트곡이 언제 였는지도 모르겠음.,negative,0.99406886,0.0054178764,0.0005131823,타격이 큼 히트곡이 언제 였는지도 모르겠음
국가안보 애초에 성시경이 고음으로 유명한게 아닌데 먼소리하노.,negative,0.99554884,0.003497784,0.0009533113,국가안보 애초에 성시경이 고음으로 유명한게 아닌데 
성시경 고평가 되는게 아마 정통 발라더?,neutral,0.0027021987,0.9918936,0.005404158,성시경 고평가 되는게 아마 정통 발라더
