,content,sentiment,negative,neutral,positive,highlight
33,의외로 가요계 황금기시절에 성시경 차트 1등 별로못해봄.,negative,0.992239,0.002647244,0.0051137544,가요계 황금기시절에 성시경 차트 1등 별로못해봄
34,라울과알레 장범준 저평가가 아니라 성시경을 이긴다 하니까 어이가 없지.,negative,0.9986358,0.0007528481,0.00061130465,성시경을 이긴다 하니까 어이가 없지
35,에펨자료받으러 희재는 아님.,neutral,0.0057672905,0.99346864,0.0007639996,희재는 아님
36, 거리에서겠지.,neutral,0.001967511,0.9973489,0.0006834798,거리에서겠지
37, 희재는 나왔을때 묻혔다가 롱런하면서 뜬거임.,neutral,0.0034904028,0.98791724,0.00859233,묻혔다가 롱런하면서 
38,에펨자료받으러 거리에서도 제법 떴지만 벚꽃엔딩에는 못 비빔.델카이저 거리에서 희재 너의모든순간 내가너의곁에잠시살았다는걸 내게오는길 넌감동이었어,positive,0.0010534414,0.0009187692,0.99802774,델카이저 거리에서 희재 너의모든순간 내가너의곁에잠시살았다는걸 내게오는길 넌감동이었어
39, 두사람 좋을텐데 차마 안녕 나의 사랑 너는나의봄이다,neutral,0.0095603485,0.7302986,0.26014113,사람 좋을텐데 차마 안녕 나의 사랑 너는나의봄이다
40, 그대네요,neutral,0.0018261797,0.99016714,0.008006715,그대네요
41,등등 아직까지도 회자되는 노래가 많은데젤 인기 있었던 곡만 따지는 건 이유를 모르겠넹.,neutral,0.00034692572,0.99862266,0.0010304495,곡만 따지는 건 이유를 모르겠넹
42,가고시마 성시경이 리메이크 하긴 함.,neutral,0.00030200844,0.9992186,0.00047938386,가고시마 성시경이 리메이크 하긴 함
43,성시경 거리에서 말고는 잘 모르겠음.,neutral,0.0004099063,0.9994004,0.00018962934,성시경 거리에서 말고는 잘 모르겠음
44,성시경 마지막 앨범 히트곡이 언제냐?,neutral,0.0008653073,0.9975393,0.0015954021,성시경 마지막 앨범 히트곡이 언제냐
45, 작년에 앨범 새로 냈다가 그냥 소리소문없이 묻혔고 롱런한다는것도 예전 노래빨에 연예인으로 롱런하는거지,positive,0.0018597501,0.0018970163,0.99624324,예전 노래빨에 연예인으로 롱런하는거지
46, 가수로 롱런하는게 아닌데장범준 당장 앨범낸다면 일단 무조건 실시간 최상위는 다 들어갈걸?,neutral,0.0080127735,0.98062825,0.011358883,실시간 최상위는 다 들어갈걸
47,가수로 보면 고점으로 상대도 안되고 롱런으로도 엄청 차이나는것도 아님 장범준은 현재 진행형이니까.,neutral,0.0019519542,0.99593014,0.0021179575,가수로 보면 고점으로 상대도 안되고 
48,티아고메시 아니 글을 못읽냐,neutral,0.11826775,0.85998935,0.021742905,티아고메시 아니 
49, 성시경은 예전에 그 전성기가 끝났다는거고 장범준은 지속중이라말을 한거자나,neutral,0.0013274436,0.96507716,0.033595424,성시경은 예전에 그 전성기가 끝났다는거고 장범준은 지속중이라말을 한거자나
50, 내가 최근 앨범 더 팔았으니 장범준 윈이랬냐 그 가수 롱런도르도 장범준이 전성기가 끝나봐야 비교가능하다는거지.,neutral,0.0048208786,0.93229246,0.06288672,내가 최근 앨범 더 팔았으니 장범준 윈이랬냐 그 가수 롱런도르도 장범준이 전성기가 끝나봐야 비교가능하다는거지
51,무협초보 성시경 데뷔년도나 보고와서 이런말해라 ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.,negative,0.99742717,0.0023341344,0.00023864773,이런말해라 ㅅㅂ 
52,무협초보 성시경 아직도 앨범내는거 이 댓글 아니면 평생 몰랐을듯.,neutral,0.016693912,0.9703363,0.012969695,무협초보 성시경 아직도 앨범내는거 이 댓글 아니면 평생 몰랐을듯
53,무협초보 장범준도 성시경처럼 오래되었을때도 앨범에 1등 못할텐데.,negative,0.94834185,0.04351429,0.008143877,앨범에 1등 못할텐데
54,어그로에많관부 원히터라기엔 성시경보다 오히려 히트곡은 더많을걸.,negative,0.99756795,0.0019132362,0.0005187537,어그로에많관부 원히터라기엔 성시경보다 오히려 히트곡은 더많을걸
55,LeslieC 히트곡은 성시경이 더 많지 않음?,neutral,0.0010307989,0.9984536,0.00051563466,히트곡은 성시경이 더 많지 않음
56, 버스커는 크게 터진게 꽤 있는거고.,neutral,0.0011589903,0.99759454,0.0012464557,버스커는 크게 터진게 꽤 있는거고
57,LeslieC 히트곡이 성시경보다 많다고?.,neutral,0.00048397348,0.99853015,0.0009858554,히트곡이 성시경보다 많다고
58,아티스트로 비교하면 작사작곡을 거의 안하는 성시경보다 장범준이 위라고 생각함.,neutral,0.0009193821,0.9926743,0.0064063845,안하는 성시경보다 장범준이 위라고 생각함
59, 작사작곡을 안하는데 어케 더 위라고 처줄 수 있는지 모르겠음..섹보스지스털섹 너의 모든 순간처럼 성시경이 작곡한 노래도 꽤 있음장범준이 위인 거랑 별개로 성시경이 작사 작곡 안 한다는 건 오해임.,negative,0.98656183,0.012816299,0.00062188687,있음장범준이 위인 거랑 별개로 성시경이 작사 작곡 안 한다는 건 오해임
60,"섹보스지스털섹 김형석 밑에서 나오고 나서부터 거리에서 들어있던 5집부터 성시경이 쭉 프로듀싱함. 3집부터 자작곡 넣기 시작했고, 6집부터 비중이 상당히 늘었음.7집에서 8집 넘어갈 때까지 10년정도 공백이 있었는데 그때 ost들은 작사,작곡 대부분 본인이 함.",neutral,0.0015736505,0.99647754,0.0019488268,6집부터 비중이 상당히 늘었음
61,곡만 받아서 부른다는게 외려 편견임..,negative,0.99788946,0.0014717507,0.0006387807,곡만 받아서 부른다는게 외려 편견임
62,성시경 노래는 좋았는데 걍 임팩트가 없었음 ㅋㅋ,negative,0.9952301,0.0011430206,0.0036269145,임팩트가 없었음 
63, 지금까지 그 목소리를 유지해서 요즘 더 뜨는 느낌.,neutral,0.00080041226,0.9967379,0.0024616725,지금까지 그 목소리를 유지해서 요즘 더 뜨는 느낌
64, 당시 최고히트곡이였던 거리에서보다 이기찬 감기 이런게 더 순위 높았을껄.,negative,0.9921102,0.004682525,0.003207325,거리에서보다 이기찬 감기 이런게 더 순위 높았을껄
65,엠팍은 ㄹㅇ,neutral,0.00078425976,0.99889946,0.00031630753,엠팍은 ㄹㅇ
66, 아재들이라 성시경 전성기때도 저게 요즘 인기있는 가수인가~,positive,0.0011549481,0.004779584,0.9940654,저게 요즘 인기있는 가수인가
67, 이런 반응이라 더 냉철한듯여기는 아직도 롤보다 스타라는 사람들도 있어서 버즈보다 sg워너비가 위라는 사람들고 있었고 객관적이지 못함.,negative,0.99505436,0.0036695306,0.0012760779,사람들고 있었고 객관적이지 못함
68,"가수로서 노래를 더 잘하니 성시경이 더 위라 생각함작사 작곡 능력 따지는 애들은 그럼 가수로서 장범준>이문세라고 할 건가배우한테는 대본 쓰고 감독 본다고 더 좋은 배우라고 안하면서 왜 같은 표현하는 직업인 가수한테는 작사 작곡 능력이 있으면 더 좋은 가수라고 하는 건지 잘 모르겠음아티스트, 창작자로는 장범준이 위지만 가수로는 성시경이 위지.다이나믹아일랜드 진짜 조금만 파고들어도 성시경 테크닉이 진짜 엄청나게 어려운건데 노래를 너무 쉽게 부르는 것처럼 보여지니 이러는건가 싶고...걍 둘 다 완전히 다른 스타일로 자신만의 스타일을 승화시키는데 왤케 비교질들인지 모르겠다 ㅋㅋㄱ.",neutral,0.10508791,0.8857168,0.009195209,성시경 테크닉이 진짜 엄청나게 어려운건데 노래를 너무 쉽게 부르는 것처럼 보여지니 
69,성시경이 존나게 위지 뭔 개소리들을 쳐하고 자빠졌냐,negative,0.99920183,0.00043225862,0.00036595072,위지 뭔 개소리들을 쳐하고 
70, 저긴 ㅋㅋㅋㅋㅋ.,neutral,0.00276711,0.99688065,0.00035221822,저긴 
71,우야노내쥬지 90년대생이고 장범준 뜰 때가 10대후반이었음,neutral,0.0011879398,0.9970151,0.0017969639,대생이고 장범준 뜰 때가 10대후반이었음
72,장범준의 성공을 목도했음에도 나는 성시경이 더 위라고 생각함베스트셀러는 장범준인데스테디셀러는 성시경.,positive,0.00063939305,0.03277222,0.9665884,장범준의 성공을 목도했음에도 나는 성시경이 더 위라고 생각함베스트셀러는 장범준인데스테디셀러는 성시경
73,2월30일 성시경은 동시대에 비교해도 한참 떨어짐 스테디셀러였던 적 없음.,neutral,0.0058816583,0.9820533,0.012064972,성시경은 동시대에 비교해도 한참 떨어짐 스테디셀러였던 적 없음
74,influxDB 난 당연히 임창정같은데?,neutral,0.0015090607,0.99774855,0.00074247096,난 당연히 임창정같은데
75,지금 성시경하고 장범준비교하는게 뭐 가창력을 논하는게아니라 가수로써 실적을 이야기하는거아님?,negative,0.96105874,0.038257264,0.0006839149,성시경하고 장범준비교하는게 뭐 가창력을 논하는게아니라 가수로써 실적을 이야기하는거아님
76, 고점이나 꾸준함모두 임창정이 위지 .,neutral,0.0009861855,0.98234504,0.016668757,고점이나 꾸준함모두 임창정이 위지 
77, 고점은 솔직히 초딩때라모르겟고 꾸준함으로치면 임창정압살인것같은데.,neutral,0.14637323,0.8481761,0.005450706,임창정압살인것같은데
78,Fkdkd 거리에서.,neutral,1.9742602e-05,0.9999585,2.1752121e-05,Fkdkd 거리에서
79,성시경은 오히려 최근에 좀 다시 뜬 경향이 있는 거 같은데우리 제법 잘어울려요,positive,0.00070275494,0.000759521,0.9985378,우리 제법 잘어울려요
80,나 거리에서 때가 전성기였던 거 같고 그 이후로 막 언급이 많이 됐던 적은 별로 없던 거 같은데근데 최근에 좀 활동을 많이 해서 그런가 재조명 받고 인기가 다시 올라간 느낌. 근 10여년 간 중에 지금이 성시경이 제일 인기 많고 언급 많이 되는거 같음,positive,0.00044344304,0.0018128133,0.9977437,전성기였던 거 같고 
81,솔직히 가수 비교해서 줄세우는게 뭔 의미인가 싶긴 한데 대중적 영향력은 장범준이 더 위인 느낌이긴 함.,neutral,0.014041572,0.9353544,0.050604068,대중적 영향력은 장범준이 더 위인 느낌이긴 함
82,성시경이 혹시라도 이 글 보면 잠 못자겠네 ㅋㅋ.,neutral,0.2860636,0.69838655,0.015549783,성시경이 혹시라도 이 글 보면 잠 못자겠네 
83,나는 성시경 스타일이 더 좋음장범준 노래는 뭔가 발랄한 노래밖에 없는거같음.,positive,0.00040799569,0.0027816626,0.9968104,나는 성시경 스타일이 더 좋음장범준 노래는 뭔가 발랄한 노래밖에 없는거같음
84,성시경이 고평가 이런 소리 들을 가수는 아니라 생각함 ㅋㅋ,neutral,0.008106748,0.97577935,0.016113937,성시경이 고평가 이런 소리 들을 가수는 아니라 생각함 
85, 발라드 goat까진 아니더라도 손가락 안에 들어갈텐데.김해코스트코 ㅋㅋㅋ,neutral,2.2346161e-05,0.99996436,1.33708145e-05,김해코스트코 
86,사랑인걸이랑 비슷한건 말이안되고거리에서 그 당시 올해의 노래 수상하던 노래인데.성시경을 몰라서 장범준을 높게친다는건 솔직히 말도안되는게...,negative,0.9872198,0.011380131,0.0014001565,솔직히 말도안되는게
87, 성시경은 당대도 평정못했음,negative,0.997938,0.0013821165,0.00067989714,성시경은 당대도 평정못했음
88,글쓴분이 댓글에 쓴것처럼 다 겪은사람들이면 장범준 뽑을듯.,neutral,0.004362595,0.99393636,0.0017011691,다 겪은사람들이면 장범준 뽑을듯
89, 근데 발라드 좋아하고 성시경 좋아하는 사람들은 성시경픽 해도 이상할건 없는 부분이기도 함..,neutral,0.0005746859,0.99001384,0.0094115585,없는 부분이기도 함
90,노하라히로시 버스커 1집은 시대를 평정했다고 볼만 하지 ㅋㅋ,neutral,0.006231708,0.98919094,0.0045773606,노하라히로시 버스커 1집은 시대를 평정했다고 
91, 2012년 앨범인디 지금까지도 회자되고 봄만되면 차트인하는게 벚꽃엔딩 여수밤바다임.,neutral,0.00013548075,0.9989992,0.0008653102,차트인하는게 벚꽃엔딩 여수밤바다임
92, 당장 지금 지나가는 사람들한테 봄 하면 생각나는 노래하면 열에 아홉은 벚꽃엔딩 얘기할걸?,neutral,0.011316533,0.9858386,0.0028448293,생각나는 노래하면 열에 아홉은 벚꽃엔딩 얘기할걸
93, 딴건 몰라도 버스커 1집은 2010년대 평정한거 맞음.,neutral,0.00080656464,0.98359644,0.015596929,평정한거 맞음
94,뭐 제패의 기준이 꾸준히 앨범내서 성공한거라면 그럴수있지만.. 버스커 2집도 대박났고 장범준 1집 제외 앨범 다 성공함.,positive,0.0008179995,0.00067012454,0.99851185,제외 앨범 다 성공함
95, 특히 솔로 이후에 디지털 싱글도 죄다 대박쳤는데 ㅋㅋ,positive,0.00064872584,0.00047167105,0.9988796,특히 솔로 이후에 디지털 싱글도 죄다 대박쳤는데 
96, 회상 흔꽃샴 잠이오질않네요,negative,0.96817905,0.030864045,0.00095692615,회상 흔꽃샴 잠이오질않네요
97, 등등..,neutral,0.000461753,0.99916065,0.0003776356,등등
98,성시경이 장범준 아래라는건 의견갈린다쳐도 장범준이 2010년대 제패못한다는건 전혀 동의못함.,negative,0.9955603,0.0036682638,0.00077138946,동의못함
99,그냥 성시경 음색이 개사기 아닌가,positive,0.0043275557,0.016265236,0.9794072,성시경 음색이 개사기 아닌가
100, 가수로서 좀 체급차이가 있다고 생각했는데 장범준이 그정도야?.,neutral,0.0035541153,0.9954796,0.00096628873,가수로서 좀 체급차이가 있다고 
101,성게전복죽 장범준 노래들 스밍 동접이 성시경 압살함;대표곡 5개만 들어가봐도.,neutral,0.001018581,0.996095,0.0028863656,성게전복죽 장범준 노래들 스밍 동접이 성시경 압살함
102,그냥 가수 급 따지기는 콘서트 규모로 보는게 제일 편함장범준 최근 - 핸드볼경기장(5천석)성시경 최근 - 장충체육관(4000석)장범준이 조금 더 급이 높긴한데 성시경은 콘서트를 자주 하고 고점이 높아서 솔직히 비슷한 급이라 생각함.,neutral,0.00083812524,0.99654984,0.0026119752,가수 급 따지기는 콘서트 규모로 보는게 제일 편함장범준 최근 
103,하루3시간취침 비교하려면 성시경 콘서트는 축가로 계산해야지 올림픽 보조 경기장 (10000석),neutral,0.0025355686,0.99670297,0.0007614425,취침 비교하려면 성시경 콘서트는 축가로 계산해야지 올림픽 보조 경기장 
104, 3일 모두 매진.,neutral,0.0006845197,0.96272534,0.03659016,3일 모두 매진
105,성시경이 당연히 윈줄알았는데..95년생임 난 성시경 노래가 더 좋아.,positive,0.0005774627,0.0009690807,0.9984535,성시경 노래가 더 좋아
106,성시경 바로 앞에서 라이브로 들어본 사람으로써 한마디하면 세상 살면서 저렇게 감미로운 목소리는 처음 들어봄,positive,0.0010135723,0.0002716935,0.9987148,세상 살면서 저렇게 감미로운 목소리는 처음 들어
107,노래 좀 한다는 일반인들?,neutral,0.0005303203,0.9992611,0.00020863958,노래 좀 한다는 일반인들
108, 성시경 발톱 때에도 못미침 진짜 고막 유린당하는줄.,negative,0.99885046,0.0005906589,0.0005588205,고막 유린당하는줄
109,노하라히로시 장범준이 이름값 밀리는건 성시경은 예능같은 티비 출연이 많고 장범준은 그런거는 아예 신경도 안쓰다시피 하는 것도 클듯.,neutral,0.0049959645,0.98668075,0.008323309,노하라히로시 장범준이 이름값 밀리는건 성시경은 예능같은 티비 출연이 많고 
110,난 성시경 노래를 ㅈㄴ잘부르잖아.,negative,0.71890026,0.1958069,0.08529278,난 성시경 노래를 ㅈㄴ잘부르잖아
111,술은 장범준이 분신술쓰고와도 성시경한텐 안된다.,negative,0.99513763,0.004394001,0.00046829935,성시경한텐 안된다
112, 장르바꿔서 한판 뜨던가.,neutral,0.0036308758,0.9960074,0.0003617605,장르바꿔서 한판 뜨던가
113,래드키 '거리에서'는 그래도  꽤 고점이라고 부를만하지 않나요??.,positive,0.0011071519,0.11298832,0.88590455,그래도  꽤 고점이라고 부를만하지 않나요
114,장범준도 좋긴한데 개취로 좀 자가복제 느낌임 ㅋ,negative,0.99608934,0.0028295803,0.0010811441,장범준도 좋긴한데 
115,성시경 노래 훨씬 좋아함.,positive,0.0005757168,0.0012065694,0.99821764,성시경 노래 훨씬 좋아함
116,스넬 장범준은 곡의 95%가 자작곡이고 성시경은 그 반대니까 당연함.,neutral,0.00077463425,0.9970763,0.0021491654,성시경은 그 반대니까 당연함
117,"현재 위상은 종합적으로 봤을때 성시경의 근소 우위지만 3-4년만 더 지나도 뒤집힌다고 봄장범준은 음원, 앨범 냇다하면 바로 탑10급이니성시경도 뭐 ost 같은건 곡 잘받으면 차트인 할수있겠지만 정규앨범에서 이제는 매니아밖에 남지않았다고 봄음악성으로 봐도 장범준이 꿀릴건 없지",positive,0.0010643777,0.031894702,0.9670409,장범준이 꿀릴건 없지
118,스스로 작사작곡하는 싱어송라이터랑 곡 받아서 부르는 보컬이랑은..,neutral,0.0004424094,0.9986841,0.0008734705,부르는 보컬이랑은
119,물론 성시경은 그 보컬중에서도 독보적인 음색을 지닌 유니크한 발라더니까 위상이 버텨주는거지.,positive,0.0005051781,0.002367361,0.9971275,위상이 버텨주는거지
120,뭔 헛소리임.,negative,0.9991635,0.0006399736,0.0001964892,뭔 헛소리임
121, 이적 vs 성시경 같은 소리하고 있네.,neutral,0.04304198,0.9549645,0.0019935137,성시경 같은 소리하고 있네
122, 장범준이 싱어송라이터로서 뛰어날진 몰라도 가수로서는 성시경이 몇 티어 위지..근데 성시경 당시에 그렇게 히트 아니라는데 나 02년생이라 성시경 전성기 세대 아닌데도 어렸을때부터 거리에도 내게오는길 이런거 어렴풋이 알고있었음,neutral,0.0006639703,0.99606955,0.003266483,장범준이 싱어송라이터로서 뛰어날진 몰라도 가수로서는 성시경이 몇 티어 위지
123,반면에 더 히트했다는 이수영은 가수이름도 모르고 노래도 하나도 몰랐음,neutral,0.23574062,0.73739654,0.026862938,반면에 더 히트했다는 이수영은 가수이름도 모르고 
124, 나중에 내가 직접 찾아보고서야 알았고.,neutral,0.0014581573,0.99791056,0.00063123106,나중에 내가 직접 찾아보고서야 알았고
125,성시경이 가창력이나 음색은 대단하지만 대중가수로서 진짜 이미지에 비해 시대를 지배하지는 못했음.,negative,0.95303065,0.038099345,0.008869981,시대를 지배하지는 못했음
126, 가창력 측면에서면 모를까 대중가수로서의 커리어를 물으신다면 지금은 몰라도 조금 더 시간이 지난다면 장범준이 성시경보다 더 음악적 결과물을 유의미하게 만들 것 같음..,positive,0.00094201276,0.121641636,0.87741643,장범준이 성시경보다 더 음악적 결과물을 유의미하게 만들 것 같음
127,성시경 코앞에서 들은 나는 성시경.:.,neutral,0.00015305694,0.9996166,0.00023035721,성시경 코앞에서 들은 나는 성시경
128,지프는지프 ㅁㅊ 너무 내려친다 ㅋㅋ,negative,0.9987858,0.0009247795,0.000289433,지프는지프 ㅁㅊ 너무 내려친다 
129,"성시경 역대 앨범 빼고 이윽고 한곡으로 음원, 노래방 수익만 봐도 이기찬은 비교불가임성시경은 콘서트로 수익 창출 가수들 사이에서도 탑급이라.",positive,0.0010425965,0.00070862245,0.9982488,노래방 수익만 봐도 이기찬은 비교불가임성시경은 콘서트로 수익 창출 가수들 사이에서도 탑급이라
130,"성시경은 가창력 우위, 장범준은 직접 작사 작곡까지 가능..",positive,0.0004970929,0.003663951,0.995839,성시경은 가창력 우위
131,"당연히 성시경이라 생각했는데 댓글들 보고 생각해보니 장범준, 직접 노래 들으면야 성시경이 더 잘하겠지만 장범준은 진짜 신드롬이였어서......",positive,0.0007672458,0.0009227874,0.99830997,장범준은 진짜 신드롬이였어서
132,누가 더 우월하다 할 문제인가 ㅎ,negative,0.9142625,0.085050814,0.00068676454,누가 더 우월하다 할 문제인가 
133,난 음색은 성시경이 더 좋지만 곡 스타일은 장범준이 좋다~~~~.,positive,0.00069524045,0.00034579934,0.99895895,곡 스타일은 장범준이 좋다
134,보컬로써 가치는 성시경 압승그 이외에 노래를 직접 만든다는 점부터 뭐 그런건 장범준한테 명함 내미기도 민망하지.,negative,0.9942701,0.0029885673,0.0027413392,보컬로써 가치는 성시경 압승그 이외에 노래를 직접 만든다는 점부터 뭐 그런건 장범준한테 명함 내미기도 민망하지
135,가창력만 따진다면 성시경이긴 할듯.,positive,0.00046324104,0.0035965398,0.9959402,가창력만 따진다면 성시경이긴 할듯
136,본인이 더 체감한 가수가 본인에게 더 높게 평가 되는거라 생각함.,neutral,0.005051436,0.7612991,0.23364952,본인이 더 체감한 가수가 본인에게 더 높게 평가 되는거라 생각함
137,난 둘 다 별로 체감하지 못했었는데 그나마 더 젊었어서 노래 들었던게 성시경의 노래를 많이 들어서 그런가 성시경..본인 처음 가져본 테이프가 성시경 1집이었음,neutral,0.000962841,0.99579096,0.0032461444,본인 처음 가져본 테이프가 성시경 1집이었음
